rank,song_title,artist,year,genre,decade
4,Champagne Poetry,Drake,2021,Popular,2021
5,Knife Talk,Drake Featuring 21 Savage & Project Pat,2021,Popular,2021
6,Stay,The Kid LAROI & Justin Bieber,2021,Popular,2021
7,In The Bible,Drake Featuring Lil Durk & Giveon,2021,Popular,2021
8,Papi's Home,Drake,2021,Popular,2021
9,TSU,Drake,2021,Popular,2021
10,Love All,Drake Featuring JAY-Z,2021,Popular,2021
11,No Friends In The Industry,Drake,2021,Popular,2021
12,N 2 Deep,Drake Featuring Future,2021,Popular,2021
13,Bad Habits,Ed Sheeran,2021,Popular,2021
14,Pipe Down,Drake,2021,Popular,2021
15,Good 4 U,Olivia Rodrigo,2021,Popular,2021
16,7am On Bridle Path,Drake,2021,Popular,2021
17,Butter,BTS,2021,Popular,2021
18,Race My Mind,Drake,2021,Popular,2021
19,Kiss Me More,Doja Cat Featuring SZA,2021,Popular,2021
20,Industry Baby,Lil Nas X & Jack Harlow,2021,Popular,2021
21,Fancy Like,Walker Hayes,2021,Popular,2021
22,IMY2,Drake Featuring Kid Cudi,2021,Popular,2021
23,Levitating,Dua Lipa,2021,Popular,2021
24,Yebba's Heartbreak,Drake & Yebba,2021,Popular,2021
25,You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross,2021,Popular,2021
26,Fountains,Drake Featuring Tems,2021,Popular,2021
27,Get Along Better,Drake Featuring Ty Dolla $ign,2021,Popular,2021
28,Save Your Tears,The Weeknd & Ariana Grande,2021,Popular,2021
29,Hurricane,Kanye West,2021,Popular,2021
30,Montero (Call Me By Your Name),Lil Nas X,2021,Popular,2021
31,Deja Vu,Olivia Rodrigo,2021,Popular,2021
32,Fucking Fans,Drake,2021,Popular,2021
33,Heat Waves,Glass Animals,2021,Popular,2021
34,Essence,Wizkid Featuring Justin Bieber & Tems,2021,Popular,2021
35,The Remorse,Drake,2021,Popular,2021
36,You Right,Doja Cat & The Weeknd,2021,Popular,2021
37,Take My Breath,The Weeknd,2021,Popular,2021
38,Need To Know,Doja Cat,2021,Popular,2021
39,Beggin',Maneskin,2021,Popular,2021
40,Leave Before You Love Me,Marshmello X Jonas Brothers,2021,Popular,2021
41,Off The Grid,Kanye West,2021,Popular,2021
42,Happier Than Ever,Billie Eilish,2021,Popular,2021
43,If I Didn't Love You,Jason Aldean & Carrie Underwood,2021,Popular,2021
44,Family Ties,Baby Keem & Kendrick Lamar,2021,Popular,2021
45,Pepas,Farruko,2021,Popular,2021
46,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021,Popular,2021
47,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021,Popular,2021
48,Waves,Luke Bryan,2021,Popular,2021
49,Traitor,Olivia Rodrigo,2021,Popular,2021
50,Moon,Kanye West,2021,Popular,2021
51,Things A Man Oughta Know,Lainey Wilson,2021,Popular,2021
52,Country Again,Thomas Rhett,2021,Popular,2021
53,Chasing After You,Ryan Hurd With Maren Morris,2021,Popular,2021
54,Arcade,Duncan Laurence,2021,Popular,2021
55,Rumors,Lizzo Featuring Cardi B,2021,Popular,2021
56,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,2021,Popular,2021
57,Thot Shit,Megan Thee Stallion,2021,Popular,2021
58,Jail,Kanye West,2021,Popular,2021
59,Late At Night,Roddy Ricch,2021,Popular,2021
60,A-O-K,Tai Verdes,2021,Popular,2021
61,I Was On A Boat That Day,Old Dominion,2021,Popular,2021
62,Wockesha,Moneybagg Yo,2021,Popular,2021
63,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,2021,Popular,2021
64,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,2021,Popular,2021
65,Ok Ok,Kanye West,2021,Popular,2021
66,Praise God,Kanye West,2021,Popular,2021
67,Skate,Silk Sonic (Bruno Mars & Anderson .Paak),2021,Popular,2021
68,Whole Lotta Money,BIA Featuring Nicki Minaj,2021,Popular,2021
69,Love Again,Dua Lipa,2021,Popular,2021
70,Memory I Don't Mess With,Lee Brice,2021,Popular,2021
71,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,2021,Popular,2021
72,You Time,Scotty McCreery,2021,Popular,2021
73,Todo de Ti,Rauw Alejandro,2021,Popular,2021
74,Buy Dirt,Jordan Davis Featuring Luke Bryan,2021,Popular,2021
75,2055,Sleepy Hallow,2021,Popular,2021
76,Cold As You,Luke Combs,2021,Popular,2021
77,Volvi,Aventura x Bad Bunny,2021,Popular,2021
78,Junya,Kanye West,2021,Popular,2021
79,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,2021,Popular,2021
80,Woman,Doja Cat,2021,Popular,2021
81,We Didn't Have Much,Justin Moore,2021,Popular,2021
82,Gyalis,Capella Grey,2021,Popular,2021
83,Wild Side,Normani Featuring Cardi B,2021,Popular,2021
84,Yonaguni,Bad Bunny,2021,Popular,2021
85,Believe What I Say,Kanye West,2021,Popular,2021
86,Memory,Kane Brown X blackbear,2021,Popular,2021
87,Blue Note$ II,Meek Mill Featuring Lil Uzi Vert,2021,Popular,2021
88,Get Into It (Yuh),Doja Cat,2021,Popular,2021
89,My Boy,Elvie Shane,2021,Popular,2021
90,Single Saturday Night,Cole Swindell,2021,Popular,2021
91,Jonah,Kanye West,2021,Popular,2021
92,You Should Probably Leave,Chris Stapleton,2021,Popular,2021
93,Don't Go Yet,Camila Cabello,2021,Popular,2021
94,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,2021,Popular,2021
95,Jesus Lord,Kanye West,2021,Popular,2021
96,Summer Of Love,Shawn Mendes & Tainy,2021,Popular,2021
97,Ain't Shit,Doja Cat,2021,Popular,2021
98,Motley Crew,Post Malone,2021,Popular,2021
99,Remote Control,Kanye West,2021,Popular,2021
100,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",2021,Popular,2021
