,Rank,Song Title,Song Artist,Year,Genre
77,78,Jump,Kris Kross,1992,Hip Hop
78,79,I Swear,John Michael Montgomery,1993,Country
79,80,Livin' La Vida Loca,Ricky Martin,1999,Latin
80,81,Watermelon Crawl,Tracy Byrd,1994,Country
81,82,Back At One,Brian McKnight,1999,R&B
82,83,Check Yes Or No,George Strait,1995,Country
83,84,Dust On The Bottle,David Lee Murphy,1995,Country
84,85,Neon Moon,Brooks & Dunn,1992,Country
85,86,You Had Me From Hello,Kenny Chesney,1999,Country
86,87,Vogue,Madonna,1990,Popular
87,88,Santeria,Sublime,1997,Alternative
88,89,Gin And Juice,Snoop Doggy Dogg,1994,Rap
89,90,Any Man Of Mine,Shania Twain,1995,Country
90,91,Can't Help Falling In Love,UB40,1993,Ballad
91,92,Strawberry Wine,Deana Carter,1996,Country
92,93,Jump Jive An' Wail,Brian Setzer Orchestra,1998,Popular
93,94,Big Poppa,Notorious B.I.G.,1995,Hip Hop
94,95,I Could Not Ask For More,Edwin McCain,1999,Ballad
95,96,Barbie Girl,Aqua,1997,Popular
96,97,Whatta Man,Salt 'N Pepa,1994,Hip Hop
97,98,I Like It I Love It,Tim McGraw,1995,Country
98,99,Somewhere over the Rainbow,Israel Kamakawiwow'ole,1993,Easy Listening
99,100,Regulate,Warren G. & Nate Dogg,1994,Alternative
0,1,Cupid Shuffle,Cupid,2007,Popular
1,2,Cha-Cha Slide,Mr. C The Slide Man,2000,Popular
2,3,I Gotta Feeling,Black Eyed Peas,2009,Popular
3,4,Single Ladies (Put A Ring On It),Beyonce,2008,Popular
4,5,Wobble,V.I.C.,2008,Popular
5,6,Yeah,Usher,2004,Popular
6,7,SexyBack,Justin Timberlake,2006,Popular
7,8,Just Dance,Lady Gaga Featuring Colby O'Donis,2008,Popular
8,9,Hey Ya!,Outkast,2003,Popular
9,10,Low,Flo Rida Featuring T-Pain,2007,Popular
10,11,I'm Yours,Jason Mraz,2008,Popular
11,12,Shots,LMFAO Feat. Lil Jon,2009,Popular
12,13,Get Low,Lil' Jon & East Side Boyz Feat. Ying Yang Twins,2003,Popular
13,14,Everything,Michael Buble,2007,Ballad
14,15,Party In The U.S.A.,Miley Cyrus,2009,Popular
15,16,Forever,Chris Brown,2008,Popular
16,17,Save A Horse (Ride A Cowboy),Big & Rich,2004,Country
17,18,Lucky,Jason Mraz & Colbie Caillat,2008,Ballad
18,19,Bless The Broken Road,Rascal Flatts,2004,Ballad
19,20,Tik Tok,Ke$ha,2009,Popular
20,21,Let's Get It Started,Black Eyed Peas,2003,Popular
21,22,Poker Face,Lady Gaga,2009,Popular
22,23,Better Together,Jack Johnson,2005,Easy Listening
23,24,Please Don't Stop The Music,Rihanna,2007,Popular
24,25,Crazy In Love,Beyonce Featuring Jay-Z,2003,Popular
25,26,Boom Boom Pow,Black Eyed Peas,2009,Popular
26,27,Come Away With Me,Norah Jones,2003,Ballad
27,28,Yeah!,Usher Featuring Lil Jon & Ludacris,2004,Popular
28,29,Hot In Herre,Nelly,2002,Popular
29,30,Then,Brad Paisley,2009,Country
30,31,Right Round,Flo Rida,2009,Popular
31,32,My Wish,Rascal Flatts,2006,Ballad
32,33,Hey Soul Sister,Train,2009,Popular
33,34,All Summer Long,Kid Rock,2008,Rock
34,35,Gold Digger,Kanye West Featuring Jamie Foxx,2005,Popular
35,36,In Da Club,50 Cent,2003,Popular
36,37,One More Time,Daft Punk,2001,Alternative
37,38,Rock Your Body,Justin Timberlake,2003,Popular
38,39,Chicken Fried,Zac Brown Band,2008,Popular
39,40,Bad Romance,Lady Gaga,2009,Popular
40,41,I Loved Her First,Heartland,2006,Country
41,42,Hips Don't Lie,Shakira Feat. Wyclef Jean,2006,Popular
42,43,You And Me,Lifehouse,2005,Ballad
43,44,Love Story,Taylor Swift,2008,Country
44,45,Get The Party Started,Pink,2001,Popular
45,46,I Know You Want Me (Calle Ocho),Pitbull,2009,Popular
46,47,Down,Jay Sean Featuring Lil Wayne,2009,Popular
47,48,Bye Bye Bye,N Sync,2000,Dance
48,49,My Humps,Black Eyed Peas,2005,Popular
49,50,Empire State Of Mind,Jay-Z Featuring Alicia Keys,2009,Popular
50,51,Say Hey (I Love You),Michael Franti & Spearhead,2008,Popular
51,52,Whatever It Is,Zac Brown Band,2009,Country
52,53,Making Memories Of Us,Keith Urban,2007,Country
53,54,Crank Dat (Soulja Boy),Soulja Boy,2007,Popular
54,55,Lost In This Moment,Big & Rich,2007,Ballad
55,56,Imma Be,Black Eyed Peas,2009,Popular
56,57,Evacuate The Dancefloor,Cascada,2009,Popular
57,58,You Are The Best Thing,Ray Lamontagne,2008,Easy Listening
58,59,Need You Now,Lady Antebellum,2009,Ballad
59,60,Wagon Wheel,Old Crow Medicine Show,2004,Country
60,61,Life Is A Highway,Rascal Flatts,2006,Popular
61,62,Over The Rainbow,"Israel Kamakawiwo'ole ""Iz""",2003,Popular
62,63,My Little Girl,Tim McGraw,2006,Country
63,64,Telephone,Lady Gaga Feat. Beyonce,2009,Popular
64,65,The Way I Are,Timbaland,2007,Popular
65,66,Fire Burning,Sean Kingston,2009,Popular
66,67,Everytime We Touch,Cascada,2006,Popular
67,68,You And Me,Dave Matthews Band,2009,Ballad
68,69,Whatever You Like,T.I.,2008,Popular
69,70,Accidentally In Love,Counting Crows,2004,Popular
70,71,Umbrella,Rihanna Feat. Jay-Z,2007,Popular
71,72,Beautiful Day,U2,2000,Rock
72,73,I Hope You Dance,Lee Ann Womack,2000,Ballad
73,74,Blame It,Jamie Foxx Feat. T-Pain,2009,Popular
74,75,Suavemente,Elvis Crespo,2005,Latin
75,76,Clumsy,Fergie,2006,Popular
76,77,Ignition,R. Kelly,2003,R&B
77,78,"1, 2, 3, 4",Plain White T's,2008,Rock
78,79,Why Don't We Just Dance,Josh Turner,2009,Country
79,80,Grow Old With You,Adam Sandler,2003,Popular
80,81,Cyclone,Baby Bash Featuring T-Pain,2007,Popular
81,82,Haven't Met You Yet,Michael Bublé,2009,Popular
82,83,Live Your Life,T.I. Featuring Rihanna,2008,Popular
83,84,Drop It Low,Ester Dean Featuring Chris Brown,2009,Popular
84,85,Hot N Cold,Katy Perry,2008,Popular
85,86,Sway,Michael Bublé,2004,Popular
86,87,Say Aah,Trey Songz Feat. Fabolous,2009,Popular
87,88,It's Five O'Clock Somewhere,Alan Jackson & Jimmy Buffett,2003,Country
88,89,Get Me Bodied,Beyonce,2007,Popular
89,90,Toes,Zac Brown Band,2009,Country
90,91,Viva La Vida,Coldplay,2008,Popular
91,92,Disturbia,Rihanna,2008,Popular
92,93,Toxic,Britney Spears,2004,Popular
93,94,Two Is Better Than One,Boys Like Girls Feat. Taylor Swift,2009,Ballad
94,95,Paper Planes,M.I.A.,2008,Popular
95,96,The Way You Move,Outkast Featuring Sleepy Brown,2003,Hip Hop
96,97,Big Green Tractor,Jason Aldean,2009,Country
97,98,Remember When,Alan Jackson,2001,Ballad
98,99,Shake It,Metro Station,2008,Popular
99,100,1 2 Step,Ciara Feat. Missy Elliott,2004,R&B
