,artist,album_name,album_uri,track,release_date,id,song_uri,track_href,analysis_url,type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Ciara ,Beauty Marks,spotify:album:1Ww0yZ7iXbzkE5duwnMVNI,I Love Myself (feat. Macklemore),2019-05-10,2BlIvqI6iRD69wmbWEWJBQ,spotify:track:2BlIvqI6iRD69wmbWEWJBQ,https://api.spotify.com/v1/tracks/2BlIvqI6iRD69wmbWEWJBQ,https://api.spotify.com/v1/audio-analysis/2BlIvqI6iRD69wmbWEWJBQ,audio_features,0.786,0.759,2,-4.345,1,0.293,0.224,0.0,0.137,0.563,79.97,328497,4
1,Ciara ,Beauty Marks,spotify:album:1Ww0yZ7iXbzkE5duwnMVNI,Level Up,2019-05-10,7ssEhls1ZYEGtBsoovkMSe,spotify:track:7ssEhls1ZYEGtBsoovkMSe,https://api.spotify.com/v1/tracks/7ssEhls1ZYEGtBsoovkMSe,https://api.spotify.com/v1/audio-analysis/7ssEhls1ZYEGtBsoovkMSe,audio_features,0.746,0.825,1,-4.666,1,0.169,0.0142,0.0107,0.121,0.584,152.914,204150,4
2,Ciara ,Beauty Marks,spotify:album:1Ww0yZ7iXbzkE5duwnMVNI,Set,2019-05-10,0RdtNKSNJ3mkg7W988BjGN,spotify:track:0RdtNKSNJ3mkg7W988BjGN,https://api.spotify.com/v1/tracks/0RdtNKSNJ3mkg7W988BjGN,https://api.spotify.com/v1/audio-analysis/0RdtNKSNJ3mkg7W988BjGN,audio_features,0.827,0.92,11,-4.386,0,0.196,0.0663,0.000269,0.873,0.677,80.993,176848,4
3,Ciara ,Beauty Marks,spotify:album:1Ww0yZ7iXbzkE5duwnMVNI,Thinkin Bout You,2019-05-10,594trlRjNdTyYLwIlcDaJM,spotify:track:594trlRjNdTyYLwIlcDaJM,https://api.spotify.com/v1/tracks/594trlRjNdTyYLwIlcDaJM,https://api.spotify.com/v1/audio-analysis/594trlRjNdTyYLwIlcDaJM,audio_features,0.893,0.73,6,-4.375,0,0.0437,0.121,0.0075,0.0939,0.819,106.988,228560,4
4,Ciara ,Beauty Marks,spotify:album:1Ww0yZ7iXbzkE5duwnMVNI,Trust Myself,2019-05-10,3ZJRRdGN21Y9b7v9ajza3f,spotify:track:3ZJRRdGN21Y9b7v9ajza3f,https://api.spotify.com/v1/tracks/3ZJRRdGN21Y9b7v9ajza3f,https://api.spotify.com/v1/audio-analysis/3ZJRRdGN21Y9b7v9ajza3f,audio_features,0.794,0.576,7,-6.187,0,0.37,0.0484,4.61e-06,0.259,0.55,76.975,218035,4
5,Ciara ,Beauty Marks,spotify:album:1Ww0yZ7iXbzkE5duwnMVNI,Girl Gang (feat. Kelly Rowland),2019-05-10,2zTspwjdyEDWKaanTHls5S,spotify:track:2zTspwjdyEDWKaanTHls5S,https://api.spotify.com/v1/tracks/2zTspwjdyEDWKaanTHls5S,https://api.spotify.com/v1/audio-analysis/2zTspwjdyEDWKaanTHls5S,audio_features,0.829,0.748,8,-5.01,1,0.0938,0.153,0.000376,0.295,0.734,136.062,199067,4
6,Ciara ,Beauty Marks,spotify:album:1Ww0yZ7iXbzkE5duwnMVNI,Dose,2019-05-10,0rwtN4afj6ikDB3nkcuZ2X,spotify:track:0rwtN4afj6ikDB3nkcuZ2X,https://api.spotify.com/v1/tracks/0rwtN4afj6ikDB3nkcuZ2X,https://api.spotify.com/v1/audio-analysis/0rwtN4afj6ikDB3nkcuZ2X,audio_features,0.808,0.752,7,-5.024,0,0.0733,0.0316,2.5e-05,0.405,0.568,113.993,222190,4
7,Ciara ,Beauty Marks,spotify:album:1Ww0yZ7iXbzkE5duwnMVNI,Na Na,2019-05-10,4Ze42wbe4XAbMnHyM9bY7K,spotify:track:4Ze42wbe4XAbMnHyM9bY7K,https://api.spotify.com/v1/tracks/4Ze42wbe4XAbMnHyM9bY7K,https://api.spotify.com/v1/audio-analysis/4Ze42wbe4XAbMnHyM9bY7K,audio_features,0.736,0.653,0,-8.841,1,0.084,0.0108,0.00172,0.0473,0.652,102.966,188800,4
8,Ciara ,Beauty Marks,spotify:album:1Ww0yZ7iXbzkE5duwnMVNI,Freak Me (feat. Tekno),2019-05-10,2YzhSj3vzAC6UDpFEwTMLF,spotify:track:2YzhSj3vzAC6UDpFEwTMLF,https://api.spotify.com/v1/tracks/2YzhSj3vzAC6UDpFEwTMLF,https://api.spotify.com/v1/audio-analysis/2YzhSj3vzAC6UDpFEwTMLF,audio_features,0.691,0.716,11,-5.683,0,0.174,0.324,5.69e-06,0.0788,0.441,104.696,200504,4
9,Ciara ,Beauty Marks,spotify:album:1Ww0yZ7iXbzkE5duwnMVNI,Greatest Love,2019-05-10,3ezgsGkbkfKfYG2i6VaeyQ,spotify:track:3ezgsGkbkfKfYG2i6VaeyQ,https://api.spotify.com/v1/tracks/3ezgsGkbkfKfYG2i6VaeyQ,https://api.spotify.com/v1/audio-analysis/3ezgsGkbkfKfYG2i6VaeyQ,audio_features,0.687,0.723,8,-5.126,0,0.0902,0.183,0.0,0.0996,0.58,119.991,223966,4
