,artist,album_name,album_uri,track,release_date,id,song_uri,track_href,analysis_url,type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
12,Clueso,Willkommen Zurück,spotify:album:0Qv02wmRha9676ze1Wt20x,Flugmodus,2021-07-01,7lVJTrfsxre6hVN160Om7G,spotify:track:7lVJTrfsxre6hVN160Om7G,https://api.spotify.com/v1/tracks/7lVJTrfsxre6hVN160Om7G,https://api.spotify.com/v1/audio-analysis/7lVJTrfsxre6hVN160Om7G,audio_features,0.723,0.535,5,-6.273,0,0.0753,0.608,0.0,0.346,0.707,140.013,178121,3
13,Clueso,Willkommen Zurück,spotify:album:0Qv02wmRha9676ze1Wt20x,Tanzen,2021-07-01,1jT9lJ8EmopLTkQtfRZdYa,spotify:track:1jT9lJ8EmopLTkQtfRZdYa,https://api.spotify.com/v1/tracks/1jT9lJ8EmopLTkQtfRZdYa,https://api.spotify.com/v1/audio-analysis/1jT9lJ8EmopLTkQtfRZdYa,audio_features,0.892,0.5,9,-5.66,0,0.0862,0.303,0.0,0.0871,0.801,99.019,167721,4
14,Clueso,Willkommen Zurück,spotify:album:0Qv02wmRha9676ze1Wt20x,Sag Mir Was Du Willst,2021-07-01,1YbpiZyIfmJdpoOWLQjtz0,spotify:track:1YbpiZyIfmJdpoOWLQjtz0,https://api.spotify.com/v1/tracks/1YbpiZyIfmJdpoOWLQjtz0,https://api.spotify.com/v1/audio-analysis/1YbpiZyIfmJdpoOWLQjtz0,audio_features,0.747,0.655,5,-5.272,1,0.0486,0.397,0.0,0.331,0.671,95.011,183203,4
15,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Aufbruch,2018-08-24,3XZWMghIitGlHtUJwA3r2E,spotify:track:3XZWMghIitGlHtUJwA3r2E,https://api.spotify.com/v1/tracks/3XZWMghIitGlHtUJwA3r2E,https://api.spotify.com/v1/audio-analysis/3XZWMghIitGlHtUJwA3r2E,audio_features,0.269,0.0752,0,-18.738,0,0.0371,0.972,0.717,0.0854,0.0711,115.533,68521,4
16,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Wie versprochen,2018-08-24,3KQ8BI3qEGlze3ToDNIfJ9,spotify:track:3KQ8BI3qEGlze3ToDNIfJ9,https://api.spotify.com/v1/tracks/3KQ8BI3qEGlze3ToDNIfJ9,https://api.spotify.com/v1/audio-analysis/3KQ8BI3qEGlze3ToDNIfJ9,audio_features,0.676,0.495,5,-7.535,1,0.0253,0.317,0.000309,0.0514,0.433,134.955,224371,4
17,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Vier Jahreszeiten an einem Tag,2018-08-24,0T3pLdXFA2rAeEgac5UF7V,spotify:track:0T3pLdXFA2rAeEgac5UF7V,https://api.spotify.com/v1/tracks/0T3pLdXFA2rAeEgac5UF7V,https://api.spotify.com/v1/audio-analysis/0T3pLdXFA2rAeEgac5UF7V,audio_features,0.607,0.464,9,-7.407,1,0.0315,0.764,1.56e-05,0.131,0.509,178.167,171668,4
18,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Waldrandlichter,2018-08-24,67M3Utyfsfqr1Lt4LbQ7rO,spotify:track:67M3Utyfsfqr1Lt4LbQ7rO,https://api.spotify.com/v1/tracks/67M3Utyfsfqr1Lt4LbQ7rO,https://api.spotify.com/v1/audio-analysis/67M3Utyfsfqr1Lt4LbQ7rO,audio_features,0.607,0.622,11,-9.0,0,0.0281,0.857,8.32e-05,0.11,0.548,93.499,198690,4
19,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Stein,2018-08-24,60ryw9Wiww7gjS1RQSOyVS,spotify:track:60ryw9Wiww7gjS1RQSOyVS,https://api.spotify.com/v1/tracks/60ryw9Wiww7gjS1RQSOyVS,https://api.spotify.com/v1/audio-analysis/60ryw9Wiww7gjS1RQSOyVS,audio_features,0.437,0.282,2,-12.727,1,0.0362,0.806,0.00494,0.138,0.223,135.125,160041,5
20,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Einfache Fahrt,2018-08-24,2o5AYC0Ftxh5Mlx4P26UNk,spotify:track:2o5AYC0Ftxh5Mlx4P26UNk,https://api.spotify.com/v1/tracks/2o5AYC0Ftxh5Mlx4P26UNk,https://api.spotify.com/v1/audio-analysis/2o5AYC0Ftxh5Mlx4P26UNk,audio_features,0.598,0.429,4,-11.155,0,0.0398,0.682,0.00946,0.127,0.378,79.941,191984,4
21,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Zwischenstopp,2018-08-24,1ooP7Sxy5Ao6QtyHbbTHVC,spotify:track:1ooP7Sxy5Ao6QtyHbbTHVC,https://api.spotify.com/v1/tracks/1ooP7Sxy5Ao6QtyHbbTHVC,https://api.spotify.com/v1/audio-analysis/1ooP7Sxy5Ao6QtyHbbTHVC,audio_features,0.502,0.423,11,-8.892,0,0.0453,0.756,0.28,0.345,0.558,172.457,90413,3
22,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Du und Ich,2018-08-24,6nFHXIv0gt2zFmzhgD8W24,spotify:track:6nFHXIv0gt2zFmzhgD8W24,https://api.spotify.com/v1/tracks/6nFHXIv0gt2zFmzhgD8W24,https://api.spotify.com/v1/audio-analysis/6nFHXIv0gt2zFmzhgD8W24,audio_features,0.869,0.652,7,-7.375,1,0.0506,0.731,7.79e-05,0.267,0.871,101.982,193483,3
23,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Wenn ein Mensch lebt,2018-08-24,6Q2oUl9Xy7JJpX6rS1fD0D,spotify:track:6Q2oUl9Xy7JJpX6rS1fD0D,https://api.spotify.com/v1/tracks/6Q2oUl9Xy7JJpX6rS1fD0D,https://api.spotify.com/v1/audio-analysis/6Q2oUl9Xy7JJpX6rS1fD0D,audio_features,0.391,0.229,1,-10.616,0,0.0323,0.937,0.0227,0.115,0.223,173.53,187079,3
24,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Wüste,2018-08-24,6pqKQQ8X9VRo3Z9DmbEUu5,spotify:track:6pqKQQ8X9VRo3Z9DmbEUu5,https://api.spotify.com/v1/tracks/6pqKQQ8X9VRo3Z9DmbEUu5,https://api.spotify.com/v1/audio-analysis/6pqKQQ8X9VRo3Z9DmbEUu5,audio_features,0.587,0.343,3,-12.844,1,0.0341,0.811,0.43,0.155,0.323,97.804,120161,4
25,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Landstreicher,2018-08-24,04ucdFQC8SiTL03VLLY4aN,spotify:track:04ucdFQC8SiTL03VLLY4aN,https://api.spotify.com/v1/tracks/04ucdFQC8SiTL03VLLY4aN,https://api.spotify.com/v1/audio-analysis/04ucdFQC8SiTL03VLLY4aN,audio_features,0.706,0.336,5,-12.059,1,0.0574,0.852,0.000851,0.102,0.672,131.334,87429,4
26,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Zimmer 102,2018-08-24,7b66UZej5UDsSP6c6XlsBu,spotify:track:7b66UZej5UDsSP6c6XlsBu,https://api.spotify.com/v1/tracks/7b66UZej5UDsSP6c6XlsBu,https://api.spotify.com/v1/audio-analysis/7b66UZej5UDsSP6c6XlsBu,audio_features,0.718,0.448,7,-8.291,1,0.0309,0.505,0.000549,0.543,0.334,115.575,247488,4
27,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Kurz vor Abflug,2018-08-24,0cyDQvbJ4m1A3BGj8NpMCV,spotify:track:0cyDQvbJ4m1A3BGj8NpMCV,https://api.spotify.com/v1/tracks/0cyDQvbJ4m1A3BGj8NpMCV,https://api.spotify.com/v1/audio-analysis/0cyDQvbJ4m1A3BGj8NpMCV,audio_features,0.635,0.433,0,-9.118,1,0.0343,0.665,0.165,0.248,0.341,118.059,242372,4
28,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Auf Kredit,2018-08-24,6ILMRfi8OpnqUQSFLMQFe5,spotify:track:6ILMRfi8OpnqUQSFLMQFe5,https://api.spotify.com/v1/tracks/6ILMRfi8OpnqUQSFLMQFe5,https://api.spotify.com/v1/audio-analysis/6ILMRfi8OpnqUQSFLMQFe5,audio_features,0.467,0.281,7,-10.059,1,0.0297,0.888,0.000447,0.129,0.117,95.78,267784,4
29,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Es ist schon spät,2018-08-24,5GdBeXjAd4ThCZ5Af7vCF8,spotify:track:5GdBeXjAd4ThCZ5Af7vCF8,https://api.spotify.com/v1/tracks/5GdBeXjAd4ThCZ5Af7vCF8,https://api.spotify.com/v1/audio-analysis/5GdBeXjAd4ThCZ5Af7vCF8,audio_features,0.588,0.301,2,-11.158,0,0.0332,0.903,0.000302,0.128,0.149,143.971,124523,4
